test accuracy,train accuracy,percent,iter,time done,time left,iters per second,lora_k,lora_type,num_layer,mode,dataset,time per iter
0.8530000448226929,0.9967,40,400,144, 03:36,2.77,4,-1,1,-1,yelp_polarity,0.36
0.5,0.5,100,1000,335, 00:00,2.98,16,-1,1,-1,yelp_polarity,0.335
0.5,0.5,100,1000,338, 00:00,2.95,32,-1,1,-1,yelp_polarity,0.338
0.5,0.5,100,1000,350, 00:00,2.85,64,-1,1,-1,yelp_polarity,0.35
0.8020000457763672,0.9917,100,1000,333, 00:00,3.0,4,0,1,-1,yelp_polarity,0.333
0.8300000429153442,0.9883,100,1000,333, 00:00,3.0,16,0,1,-1,yelp_polarity,0.333
0.7690000534057617,0.9733,100,1000,334, 00:00,2.99,32,0,1,-1,yelp_polarity,0.334
0.5,0.5,100,1000,335, 00:00,2.98,64,0,1,-1,yelp_polarity,0.335
0.7890000343322754,0.9617,100,1000,334, 00:00,2.99,4,3,1,-1,yelp_polarity,0.334
0.5,0.5,100,1000,334, 00:00,2.99,16,3,1,-1,yelp_polarity,0.334
0.7900000214576721,0.985,100,1000,334, 00:00,2.99,32,3,1,-1,yelp_polarity,0.334
0.5,0.5,100,1000,334, 00:00,2.99,64,3,1,-1,yelp_polarity,0.334
0.8050000667572021,0.9983,80,800,277, 01:09,2.88,4,6,1,-1,yelp_polarity,0.34625
0.7980000376701355,0.995,90,900,310, 00:34,2.89,16,6,1,-1,yelp_polarity,0.34444444444444444
0.5,0.5,100,1000,334, 00:00,2.99,32,6,1,-1,yelp_polarity,0.334
0.734000027179718,0.8333,100,1000,334, 00:00,2.99,64,6,1,-1,yelp_polarity,0.334
0.5,0.9417,100,1000,333, 00:00,2.99,4,9,1,-1,yelp_polarity,0.333
0.7780000567436218,0.99,100,1000,334, 00:00,2.99,16,9,1,-1,yelp_polarity,0.334
0.7940000295639038,0.9967,90,900,310, 00:34,2.89,32,9,1,-1,yelp_polarity,0.34444444444444444
0.5,0.5017,100,1000,335, 00:00,2.98,64,9,1,-1,yelp_polarity,0.335
0.781000018119812,0.99,100,1000,333, 00:00,3.0,4,11,1,-1,yelp_polarity,0.333
0.7880000472068787,0.9883,100,1000,333, 00:00,2.99,16,11,1,-1,yelp_polarity,0.333
0.781000018119812,0.995,80,800,277, 01:09,2.89,32,11,1,-1,yelp_polarity,0.34625
0.7770000100135803,0.9967,60,600,210, 02:20,2.84,64,11,1,-1,yelp_polarity,0.35
0.8530000448226929,0.9967,40,400,143, 03:35,2.78,4,-1,2,-1,yelp_polarity,0.3575
0.5,0.5,100,1000,335, 00:00,2.98,16,-1,2,-1,yelp_polarity,0.335
0.5,0.5,100,1000,337, 00:00,2.96,32,-1,2,-1,yelp_polarity,0.337
0.5,0.5,100,1000,350, 00:00,2.86,64,-1,2,-1,yelp_polarity,0.35
0.7790000438690186,0.9983,60,600,210, 02:20,2.86,4,0,2,-1,yelp_polarity,0.35
0.7630000114440918,0.9683,100,1000,334, 00:00,2.99,16,0,2,-1,yelp_polarity,0.334
0.7050000429153442,0.975,100,1000,334, 00:00,2.99,32,0,2,-1,yelp_polarity,0.334
0.5,0.5,100,1000,336, 00:00,2.97,64,0,2,-1,yelp_polarity,0.336
0.8070000410079956,0.9817,100,1000,333, 00:00,3.0,4,3,2,-1,yelp_polarity,0.333
0.7730000615119934,0.9383,100,1000,334, 00:00,2.99,16,3,2,-1,yelp_polarity,0.334
0.5,0.9667,100,1000,335, 00:00,2.98,32,3,2,-1,yelp_polarity,0.335
0.5,0.5,100,1000,336, 00:00,2.97,64,3,2,-1,yelp_polarity,0.336
0.7940000295639038,0.9933,100,1000,333, 00:00,3.0,4,6,2,-1,yelp_polarity,0.333
0.8050000667572021,0.995,70,700,244, 01:44,2.87,16,6,2,-1,yelp_polarity,0.3485714285714286
0.7910000085830688,0.9533,100,1000,334, 00:00,2.99,32,6,2,-1,yelp_polarity,0.334
0.8040000200271606,0.9983,70,700,245, 01:45,2.85,64,6,2,-1,yelp_polarity,0.35
0.796000063419342,0.995,60,600,210, 02:20,2.85,4,9,2,-1,yelp_polarity,0.35
0.8080000281333923,0.9983,80,800,277, 01:09,2.88,16,9,2,-1,yelp_polarity,0.34625
0.7830000519752502,0.9967,80,800,277, 01:09,2.88,32,9,2,-1,yelp_polarity,0.34625
0.5,0.5,100,1000,336, 00:00,2.97,64,9,2,-1,yelp_polarity,0.336
0.781000018119812,0.99,100,1000,333, 00:00,3.0,4,11,2,-1,yelp_polarity,0.333
0.7880000472068787,0.9883,100,1000,334, 00:00,2.99,16,11,2,-1,yelp_polarity,0.334
0.781000018119812,0.995,80,800,277, 01:09,2.88,32,11,2,-1,yelp_polarity,0.34625
0.7770000100135803,0.9967,60,600,211, 02:20,2.84,64,11,2,-1,yelp_polarity,0.3516666666666667
0.8530000448226929,0.9967,40,400,143, 03:35,2.78,4,-1,3,-1,yelp_polarity,0.3575
0.5,0.5,100,1000,335, 00:00,2.98,16,-1,3,-1,yelp_polarity,0.335
0.5,0.5,100,1000,337, 00:00,2.96,32,-1,3,-1,yelp_polarity,0.337
0.5,0.5,100,1000,349, 00:00,2.86,64,-1,3,-1,yelp_polarity,0.349
0.8100000619888306,0.9967,70,700,243, 01:44,2.87,4,0,3,-1,yelp_polarity,0.34714285714285714
0.7990000247955322,0.9767,100,1000,334, 00:00,2.99,16,0,3,-1,yelp_polarity,0.334
0.5,0.5,100,1000,334, 00:00,2.99,32,0,3,-1,yelp_polarity,0.334
0.5,0.5,100,1000,337, 00:00,2.96,64,0,3,-1,yelp_polarity,0.337
0.8230000138282776,0.995,60,600,210, 02:20,2.86,4,3,3,-1,yelp_polarity,0.35
0.7700000405311584,0.9567,100,1000,334, 00:00,2.99,16,3,3,-1,yelp_polarity,0.334
0.5,0.9733,100,1000,334, 00:00,2.99,32,3,3,-1,yelp_polarity,0.334
0.5,0.5,100,1000,337, 00:00,2.96,64,3,3,-1,yelp_polarity,0.337
0.8300000429153442,0.9967,40,400,143, 03:35,2.79,4,6,3,-1,yelp_polarity,0.3575
0.7220000624656677,0.9867,100,1000,334, 00:00,2.99,16,6,3,-1,yelp_polarity,0.334
0.737000048160553,0.9133,100,1000,334, 00:00,2.99,32,6,3,-1,yelp_polarity,0.334
0.5,0.5,100,1000,337, 00:00,2.96,64,6,3,-1,yelp_polarity,0.337
0.8280000686645508,0.9967,40,400,143, 03:35,2.79,4,9,3,-1,yelp_polarity,0.3575
0.5,0.5,100,1000,334, 00:00,2.99,16,9,3,-1,yelp_polarity,0.334
0.5,0.5,100,1000,335, 00:00,2.98,32,9,3,-1,yelp_polarity,0.335
0.5,0.5,100,1000,338, 00:00,2.96,64,9,3,-1,yelp_polarity,0.338
0.781000018119812,0.99,100,1000,334, 00:00,2.99,4,11,3,-1,yelp_polarity,0.334
0.7880000472068787,0.9883,100,1000,334, 00:00,2.99,16,11,3,-1,yelp_polarity,0.334
0.781000018119812,0.995,80,800,277, 01:09,2.88,32,11,3,-1,yelp_polarity,0.34625
0.7770000100135803,0.9967,60,600,211, 02:20,2.84,64,11,3,-1,yelp_polarity,0.3516666666666667
